Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
956303,RO212121,Professional Services,105758 RON,2018-04-17
950459,DE763212,Professional Services,53840.4 RON,2018-04-21
332163,DE987564,Professional Services,239538 RON,2018-04-23
204610,FR453231,Beverages and Catering,348434 RON,2018-04-20
743001,RO345879,Waste management services,359231 EUR,2018-04-07
507740,DE987564,Various paper supplies,311489 EUR,2018-04-19
304001,FR121212,Waste management services,254363 CAD,2018-04-25
702527,RO125678,Various paper supplies,146831 CAD,2018-04-16
133547,DE987564,Various paper supplies,48412.8 EUR,2018-04-11
423448,IT213456,Beverages and Catering,343441 CAD,2018-04-06
864560,RO212121,Beverages and Catering,331764 EUR,2018-05-01
718578,RO874232,Professional Services,141362 USD,2018-05-10
653828,DE987564,Beverages and Catering,226825 USD,0000-00-00
947976,DE325476,IT Support,328042 RON,2018-05-09
504211,RO345879,Concierge Services,284842 RON,2018-05-14
331986,IT213456,Professional Services,69068.4 CAD,2018-05-05
832393,RO254678,Professional Services,196459 RON,2018-05-27
800388,RO874232,IT Support,286472 RON,2018-05-21
501563,DE325476,IT Support,104056 USD,2018-05-07
668684,FR121212,Beverages and Catering,350489 EUR,2018-05-27
720381,DE767565,Concierge Services,70124.4 USD,2018-05-13
852171,RO212121,Concierge Services,105810 CAD,2018-05-23
571189,RO657483,Beverages and Catering,177013 RON,2018-05-17
492092,DE763212,Various paper supplies,36474 CAD,2018-05-21
741982,RO212121,Beverages and Catering,162685 EUR,2018-05-12
520411,RO254678,Concierge Services,144736 USD,2018-06-19
587052,FR329083,Beverages and Catering,2286 RON,2018-06-09
829750,IT754893,Waste management services,224887 CAD,2018-06-10
998011,RO125678,Professional Services,351665 USD,2018-06-21
671034,RO125678,Beverages and Catering,66134.4 EUR,2018-06-05
511807,RO874231,Beverages and Catering,56512.8 USD,2018-06-13
545152,RO874232,Waste management services,54810 CAD,2018-06-17
714699,RU567434,Various paper supplies,11163.6 EUR,2018-06-11
809223,RO874232,Waste management services,16760.4 CAD,2018-06-04
330718,RO254678,Professional Services,323033 CAD,2018-06-22
418036,FR121212,Various paper supplies,332783 EUR,2018-06-22
287687,RO254678,Professional Services,9378 CAD,2018-06-19
530877,DE767565,Waste management services,69220.8 RON,2018-06-25
357359,RO874232,Concierge Services,32025.6 RON,2018-06-26
781605,RO125678,Professional Services,336691 EUR,2018-06-20
815027,FR329083,Various paper supplies,230946 CAD,2018-06-04
672889,RO874231,IT Support,227611 USD,2018-06-07
714073,RO125678,Concierge Services,229674 EUR,2018-06-10
400969,DE325476,IT Support,264595 USD,2018-07-13
432077,RO345879,Beverages and Catering,208938 CAD,2018-07-27
938945,RO125678,Concierge Services,250910 USD,2018-07-23
342666,FR453231,Professional Services,175045 CAD,2018-07-28
700449,DE767565,Beverages and Catering,265501 EUR,2018-07-23
193787,FR453231,IT Support,267182 USD,2018-07-05
456804,FR329083,Waste management services,238348 EUR,2018-07-16
761922,FR329083,Beverages and Catering,251234 USD,2018-07-01
815080,DE325476,IT Support,108264 EUR,2018-07-19
367755,RO874232,Various paper supplies,146864 USD,2018-08-09
147469,IT754893,Various paper supplies,177797 RON,2018-08-24
705184,IT754893,Waste management services,341321 USD,2018-08-18
590587,DE987564,Concierge Services,167756 RON,2018-08-24
584068,FR329083,Beverages and Catering,6012 USD,2018-08-08
810860,FR329083,IT Support,287299 RON,2018-08-24
155426,RO657483,Professional Services,166001 USD,2018-08-22
146900,DE987564,Waste management services,46236 EUR,2018-08-19
368920,DE767565,Concierge Services,346358 RON,2018-08-08
334420,FR121212,Waste management services,195574 RON,2018-08-16
844516,IT213456,Waste management services,196315 CAD,2018-08-26
891354,RO874231,Concierge Services,26324.4 CAD,2018-09-23
146163,RO874232,Waste management services,242530 CAD,2018-09-17
149003,RO125678,Concierge Services,305732 EUR,2018-09-26
631121,RO874232,Concierge Services,272748 EUR,2018-09-11
903951,RO125678,Concierge Services,305038 CAD,2018-09-11
969783,IT754893,Concierge Services,357328 RON,2018-09-25
886457,RO657483,Beverages and Catering,19030.8 USD,2018-09-17
716856,RO345879,IT Support,160592 CAD,2018-09-20
728621,DE987564,Waste management services,254302 RON,2018-09-12
749524,RU567434,IT Support,187924 USD,0000-00-00
688839,DE987564,Concierge Services,26006.4 RON,2018-09-17
930205,DE987564,IT Support,315716 USD,2018-09-17
113319,RO874232,Various paper supplies,195794 RON,2018-09-04
727251,IT754893,Concierge Services,312643 EUR,2018-10-19
430358,DE767565,Professional Services,340511 RON,2018-10-12
701377,DE767565,Beverages and Catering,278381 RON,2018-10-15
231568,RO345879,Various paper supplies,53659.2 EUR,2018-10-04
480881,RO874231,Waste management services,38587.2 EUR,2018-10-03
721478,RO254678,Concierge Services,231055 RON,2018-10-08
349306,DE767565,Waste management services,3477.6 RON,2018-10-03
337465,RO874232,Waste management services,275923 RON,2018-10-08
229011,DE767565,Various paper supplies,9894 RON,0000-00-00
642644,RO874231,IT Support,329233 USD,2018-10-18
860439,RO345879,IT Support,161501 USD,2018-10-05
901890,RO125678,Waste management services,30334.8 RON,2018-11-20
340670,IT213456,Various paper supplies,136133 CAD,2018-11-21
630019,RU567434,IT Support,264330 EUR,2018-11-05
160339,FR329083,Professional Services,166208 EUR,2018-11-26
486152,FR329083,IT Support,89365.2 RON,2018-11-03
393263,RU567434,Various paper supplies,179154 EUR,2018-11-03
481929,IT754893,Waste management services,326002 USD,2018-11-12
431175,FR453231,Various paper supplies,268592 EUR,2018-11-27
804025,IT754893,Professional Services,306478 EUR,2018-11-06
995713,DE987564,Various paper supplies,271762 CAD,2018-11-13
575873,DE325476,Various paper supplies,118110 CAD,2018-11-27
709765,RO345879,Various paper supplies,352357 EUR,2018-11-12
120476,RU567434,Waste management services,121174 RON,2018-11-20
767343,RO657483,Concierge Services,82290 RON,2018-12-26
955480,IT754893,Waste management services,269724 USD,2018-12-03
462993,RU567434,IT Support,145460 EUR,2018-12-03
413782,FR329083,Concierge Services,250314 USD,2018-12-28
625960,IT213456,Beverages and Catering,81638.4 CAD,2018-12-01
820013,FR329083,Professional Services,349080 RON,2018-12-01
719346,RU567434,Concierge Services,108139 CAD,2018-12-02
705268,DE767565,Waste management services,271962 CAD,2018-12-26
741299,RO254678,Beverages and Catering,34840.8 RON,2018-12-19
746627,RO345879,Professional Services,235997 RON,2018-12-27
185866,RO212121,IT Support,113885 USD,2018-12-17
436428,FR453231,Waste management services,26749.2 RON,2018-12-04
394496,FR121212,IT Support,87169.2 USD,0000-00-00
407205,FR121212,Beverages and Catering,164612 EUR,2018-12-05
884948,RU567434,Various paper supplies,99190.8 EUR,2018-12-21
876791,DE763212,IT Support,4582.8 USD,2018-12-23
975199,RO657483,Professional Services,257441 USD,2018-12-05
289501,RO874231,IT Support,162134 CAD,2018-12-14
760465,RO874232,Professional Services,292498 EUR,2018-12-01
